anotador,anillador,codigo,talla_anillo,numero_anillo,nombre_especie,codigo_especie,edad,edad_por,edad_por,sexo, sexo_por, sexo_por,codigo_ciclo,protuberancia_cloacal,parche_Incubacion,grasa,muda_cuerpo,muda_vuelo,desgaste_vuelo,plumaje_juvenil,limite_muda,limite_muda,osificacion,ala,cola,tarso,l_pico,a_pico,n_pico,peso,estado,dia,mes,anho,hora_captura,estacion,red,notas,Fotos,limite,limite_2,muda_vuelo,cmen,cmed1,cmed2,cmed3,cmed4,cmed5,cmed6,cmed7,cmed8,cmed9,cmed10,cmay1,cmay2,cmay3,cmay4,cmay5,cmay6,cmay7,cmay8,cmay9,cmay10,cc,a1,a2,a3,cprim1,cprim2,cprim3,cprim4,cprim5,cprim6,cprim7,cprim8,cprim9,cprim10,sec9,sec8,sec7,sec6,sec5,sec4,sec3,sec2,sec1,prim1,prim2,prim3,prim4,prim5,prim6,prim7,prim8,prim9,prim10,rec_izq6,rec_izq5,rec_izq4,rec_izq3,rec_izq2,rec_izq1,rec_der1,rec_der2,rec_der3,rec_der4,rec_der5,rec_der6,notas_muda
RPP,TAV,N,A,14439,Myiothlypis fraseri,MYIFRA,A,K,S,H,I,,DCB,N,L,N,N,N,B,N,N,,6,60,59,23,8.2,4.1,5.5,16.6,N,5,3,2019,1220,TR03,8,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12604,Myiothlypis fraseri,MYIFRA,P,L,,D,D,,FCU,P,N,N,N,N,E,D,N,,4,59,57,22.4,8.9,4.1,5.3,12.8,N,27,2,2019,1141,TR04,6,RECTRICES Y PRIMARIAS VIEJAS Y MUY DEGASTADAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,
TAV,TAV,N,B,12605,Myiothlypis fraseri,MYIFRA,A,K,S,M,C,,DCB,G,N,N,N,N,M,D,N,,6,65,61,23.2,8.7,4.5,5.9,13.6,N,28,2,2019,809,TR06,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12606,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,L,D,N,,6,68,61,22.5,8.5,4,6.7,14.1,N,28,2,2019,759,TR06,10,PARECE HABER MUDADO LAS 2 PRIMERAS DEL ALULA Y RETENER EL AULA 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHR,TAV,N,B,12607,Myiothlypis fraseri,MYIFRA,A,K,,H,I,,DCB,N,N,I,N,N,L,N,N,,5,58,53,21.4,8.2,4,5.8,12.4,N,28,2,2019,1230,TR06,,PARCHE CULMINADO,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPP,RPP,N,B,12611,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,N,,,60,56,22.8,8.6,4,5.6,13.5,N,5,3,2019,900,TR03,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,N,B,12620,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,M,N,N,N,N,M,N,N,,6,65,58,22.8,8.5,3.9,5.5,13.3,N,7,3,2019,750,TR05,8,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,DGO,N,B,12624,Myiothlypis fraseri,MYIFRA,A,K,P,M,C,,DCB,G,N,N,N,N,M,N,N,,,63,60,22.6,8.9,4,5.9,13.8,N,7,3,2019,1143,TR05,6,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12631,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,G,N,N,N,N,M,N,D,,6,60,58,21.5,9,4,6.1,13.5,N,9,3,2019,1008,TR06,1,,SI,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12635,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,M,N,N,N,N,I,N,N,,6,66,63,22.2,8.4,4.1,5.8,13.3,N,12,3,2019,1240,TR07,4,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12638,Myiothlypis fraseri,MYIFRA,A,K,,H,V,,DCB,N,L,L,N,N,L,N,N,,6,60,57,22.1,8.5,3.9,5.9,13.3,N,13,3,2019,847,TR08,9,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,TAV,N,B,12639,Myiothlypis fraseri,MYIFRA,A,K,,D,D,,DCB,P,N,N,N,N,I,N,N,,6,65,60,23,9.4,4.1,5.8,14.2,N,13,3,2019,857,TR08,1,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV,RPP,N,B,12641,Myiothlypis fraseri,MYIFRA,A,K,,M,C,,DCB,M,N,N,N,N,I,N,N,,6,69,63,23.3,8.8,4.1,5.7,14.4,N,13,3,2019,902,TR08,4,,SI,N ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
